EMV,d_TV,N,K
0.7354317598995146,0.155148581800064,898,1
0.7404307927671059,0.2563334138470204,1012,1
0.7372677719477398,0.155148581800064,980,1
0.7232890228352299,0.2563334138470204,1041,1
0.7311037060470666,0.155148581800064,684,1
0.7279826404857411,0.2563334138470204,1312,1
0.7339376698009469,0.155148581800064,873,1
0.7307476210155318,0.2563334138470204,748,1
0.744376768143395,0.155148581800064,1190,1
0.7290760645956017,0.2563334138470204,881,1
0.7389040440266611,0.155148581800064,931,1
0.7286583489698564,0.2563334138470204,952,1
0.7169343068953946,0.155148581800064,977,1
0.7418880138659165,0.2563334138470204,943,1
0.7430695396104027,0.155148581800064,1025,1
0.7283672819454613,0.2563334138470204,856,1
0.7513114245993867,0.155148581800064,863,1
0.7448354480117508,0.2563334138470204,989,1
0.7397726747034916,0.155148581800064,925,1
0.7373212583138099,0.2563334138470204,1045,1
0.7388613091833387,0.155148581800064,930,1
0.7533626832792437,0.2563334138470204,956,1
0.7564182340467687,0.155148581800064,864,1
0.7364541721303414,0.2563334138470204,906,1
0.732874899483942,0.155148581800064,765,1
0.7461856256683376,0.2563334138470204,819,1
0.7444285694389688,0.155148581800064,983,1
0.7506874272101287,0.2563334138470204,909,1
0.7489112168983747,0.155148581800064,980,1
0.7548225737958187,0.2563334138470204,1072,1
0.7544517662124633,0.155148581800064,1089,1
0.7440202007492047,0.2563334138470204,781,1
0.7304122030492164,0.155148581800064,894,1
0.7462723224216676,0.2563334138470204,922,1
0.7493875127358258,0.155148581800064,1033,1
0.7342250411644524,0.2563334138470204,969,1
0.7395545934179069,0.155148581800064,883,1
0.7380073502488154,0.2563334138470204,805,1
0.7400269770219174,0.155148581800064,958,1
0.7297971243936923,0.2563334138470204,748,1
0.7491955227957973,0.155148581800064,1043,1
0.7386240103934042,0.2563334138470204,889,1
0.7391444794068402,0.155148581800064,876,1
0.7263580862245839,0.2563334138470204,1017,1
0.7560374414173295,0.155148581800064,1198,1
0.7409720689633116,0.2563334138470204,889,1
0.7380589325674087,0.155148581800064,1029,1
0.7447105107921737,0.2563334138470204,1106,1
0.7335509701034861,0.155148581800064,948,1
0.7353332918281782,0.2563334138470204,990,1
0.7230180248703254,0.155148581800064,778,1
0.7483413971080606,0.2563334138470204,1003,1
0.7283512299085609,0.155148581800064,696,1
0.7460210058895832,0.2563334138470204,1001,1
0.7385308575530101,0.155148581800064,930,1
0.7384321174164415,0.2563334138470204,982,1
0.7407164258233068,0.155148581800064,858,1
0.7368543783014426,0.2563334138470204,1084,1
0.7207189002303922,0.155148581800064,904,1
0.7170478340779228,0.2563334138470204,951,1
0.7369155635314075,0.155148581800064,1192,1
0.7330438420562583,0.2563334138470204,1019,1
0.7599344346607323,0.155148581800064,1092,1
0.7321975993051153,0.2563334138470204,899,1
0.7556362312674498,0.155148581800064,916,1
0.7558732636315201,0.2563334138470204,1149,1
0.7310372177880667,0.155148581800064,939,1
0.7343845124790856,0.2563334138470204,939,1
0.7452807336224136,0.155148581800064,813,1
0.7135099852446773,0.2563334138470204,864,1
0.7591205874053726,0.155148581800064,971,1
0.7523606274712891,0.2563334138470204,756,1
0.7488609354566268,0.155148581800064,824,1
0.732682802459091,0.2563334138470204,1023,1
0.7469241906342028,0.155148581800064,903,1
0.7404162281740788,0.2563334138470204,877,1
0.7305228408670296,0.155148581800064,906,1
0.7421606245007972,0.2563334138470204,1033,1
0.7264107730058941,0.155148581800064,1060,1
0.7397311999438388,0.2563334138470204,838,1
0.726157274689845,0.155148581800064,920,1
0.7354928712597928,0.2563334138470204,932,1
0.7129097322236925,0.155148581800064,992,1
0.7308643596892664,0.2563334138470204,815,1
0.7479304529337136,0.155148581800064,914,1
0.7421875016844943,0.2563334138470204,933,1
0.7313266530457281,0.155148581800064,1056,1
0.7369473660096942,0.2563334138470204,872,1
0.7188959754169019,0.155148581800064,945,1
0.7441600845172459,0.2563334138470204,1004,1
0.7455475464909912,0.155148581800064,882,1
0.732748517188835,0.2563334138470204,946,1
0.7349687568383628,0.155148581800064,800,1
0.7268097899857464,0.2563334138470204,635,1
0.7328116718046915,0.155148581800064,687,1
0.7533918177172764,0.2563334138470204,957,1
0.7287640967174613,0.155148581800064,952,1
0.7355827944072445,0.2563334138470204,911,1
0.7349711096364285,0.155148581800064,1131,1
0.7399406687726858,0.2563334138470204,764,1
